block_height,block_timestamp,difficulty_absolute,difficulty_change_percentage,bits,time_between_blocks,hashrate_pretty,hashrate_units,difficulty_abs_change,hashrate_u_abs_change
804384,2023-08-22 17:16:39,55621444139429,6.17,0x17050f7b,09min26s,397.74EH/s,397740000000000000000,3230265158050,22890000000000000000
802368,2023-08-09 12:27:48,52391178981379,0.12,0x17055f5b,10min00s,374.85EH/s,374850000000000000000,62866917936,320000000000000000
800352,2023-07-26 12:42:27,52328312063443,-2.94,0x17056102,10min18s,374.53EH/s,374530000000000000000,-1582860937611,-11340000000000000000
798336,2023-07-12 02:29:39,53911173001054,6.45,0x17053894,09min24s,385.87EH/s,385870000000000000000,3264966569996,23370000000000000000
796320,2023-06-28 22:48:35,50646206431058,-3.26,0x17058ebe,10min20s,362.50EH/s,362500000000000000000,-1704233024429,-11900000000000000000
794304,2023-06-14 11:27:42,52350439455487,2.18,0x1705606d,09min48s,374.40EH/s,374400000000000000000,1116100592045,7930000000000000000
792288,2023-05-31 18:19:27,51234338863442,3.40,0x17057e69,09min41s,366.47EH/s,366470000000000000000,1684635684850,11920000000000000000
790272,2023-05-18 05:07:42,49549703178592,3.22,0x1705ae3a,09min42s,354.55EH/s,354550000000000000000,1544168865014,11480000000000000000
788256,2023-05-04 15:28:07,48005534313578,-1.45,0x1705dd01,10min10s,343.07EH/s,343070000000000000000,-706871639540,-5530000000000000000
786240,2023-04-20 09:57:33,48712405953118,1.72,0x1705c739,09min50s,348.60EH/s,348600000000000000000,824641614582,6440000000000000000
784224,2023-04-06 15:33:19,47887764338536,2.23,0x1705e0b2,09min48s,342.16EH/s,342160000000000000000,1044364052260,6930000000000000000
782208,2023-03-23 22:16:42,46843400286276,7.56,0x1706023e,09min18s,335.23EH/s,335230000000000000000,3291678072686,23540000000000000000
780192,2023-03-10 21:48:10,43551722213590,1.16,0x17067681,09min53s,311.69EH/s,311690000000000000000,497878019662,3600000000000000000
778176,2023-02-25 01:34:12,43053844193928,9.95,0x170689a3,09min06s,308.09EH/s,308090000000000000000,3897444134635,27830000000000000000
776160,2023-02-12 07:52:51,39156400059293,-0.49,0x17073039,10min03s,280.26EH/s,280260000000000000000,-194542408479,-1410000000000000000
774144,2023-01-29 06:10:41,39350942467772,4.68,0x17072720,09min33s,281.67EH/s,281670000000000000000,1760488812275,12650000000000032768
772128,2023-01-15 21:11:50,37590453655497,10.26,0x17077ce2,09min04s,269.02EH/s,269019999999999967232,3496883330294,25359999999999967232
770112,2023-01-03 04:22:50,34093570325203,-3.59,0x1708417e,10min23s,243.66EH/s,243660000000000000000,-1270495575254,-9410000000000000000
768096,2022-12-19 15:17:56,35364065900457,3.27,0x1707f590,09min41s,253.07EH/s,253070000000000000000,1119734287281,7970000000000000000
766080,2022-12-06 01:50:29,34244331613176,-7.32,0x17083830,10min48s,245.10EH/s,245100000000000000000,-2706162454046,-19080000000000000000
764064,2022-11-20 23:14:19,36950494067222,0.51,0x17079e15,09min58s,264.18EH/s,264180000000000000000,188295248755,1040000000000000000
762048,2022-11-07 00:32:43,36762198818467,-0.20,0x1707a812,10min01s,263.14EH/s,263140000000000000000,-73483728320,-490000000000000000
760032,2022-10-23 23:51:31,36835682546787,3.44,0x1707a429,09min40s,263.63EH/s,263630000000000000000,1224888382416,8830000000000000000
758016,2022-10-10 10:58:26,35610794164371,13.55,0x1707e772,08min49s,254.80EH/s,254800000000000000000,4250245991227,30390000000000000000
756000,2022-09-28 02:56:34,31360548173144,-2.14,0x1708f9ae,10min13s,224.41EH/s,224410000000000000000,-684811392159,-4980000000000000000
753984,2022-09-13 19:29:06,32045359565303,3.45,0x1708c894,09min40s,229.39EH/s,229390000000000000000,1068307804843,7670000000000000000
751968,2022-08-31 06:40:55,30977051760460,9.26,0x17091620,09min09s,221.72EH/s,221720000000000000000,2625445016967,18960000000000000000
749952,2022-08-18 11:07:57,28351606743493,0.63,0x1709ed88,09min57s,202.76EH/s,202760000000000000000,176938262204,1330000000000000000
747936,2022-08-04 12:54:43,28174668481289,1.74,0x1709fd7e,09min50s,201.43EH/s,201430000000000000000,482100522056,3280000000000000000
745920,2022-07-21 18:14:42,27692567959233,-5.01,0x170a2a04,10min32s,198.15EH/s,198150000000000000000,-1460230849038,-10370000000000000000
743904,2022-07-07 00:22:38,29152798808271,-1.41,0x1709a7af,10min09s,208.52EH/s,208520000000000000000,-417369828086,-3110000000000000000
741888,2022-06-22 19:18:09,29570168636357,-2.35,0x170984cc,10min15s,211.63EH/s,211630000000000000000,-713124911379,-4910000000000000000
739872,2022-06-08 11:07:28,30283293547736,1.29,0x17094b6a,09min53s,216.54EH/s,216540000000000000000,385883858903,2620000000000000000
737856,2022-05-25 15:03:05,29897409688833,-4.33,0x17096a20,10min27s,213.92EH/s,213920000000000000000,-1353691676878,-9780000000000000000
735840,2022-05-10 23:41:18,31251101365711,4.89,0x170901ba,09min32s,223.70EH/s,223700000000000000000,1456693776399,10600000000000000000
733824,2022-04-27 15:20:35,29794407589312,5.56,0x17097275,09min29s,213.10EH/s,213100000000000000000,1568479438101,11070000000000000000
731808,2022-04-14 08:45:39,28225928151211,-1.26,0x1709f8d9,10min08s,202.03EH/s,202030000000000000000,-361227630984,-2550000000000000000
729792,2022-03-31 04:25:29,28587155782195,4.13,0x1709d897,09min36s,204.58EH/s,204580000000000000000,1134448085729,8130000000000000000
727776,2022-03-17 17:40:08,27452707696466,-0.35,0x170a40c0,10min02s,196.45EH/s,196450000000000000000,-97624387877,-740000000000000000
725760,2022-03-03 16:21:51,27550332084343,-1.49,0x170a3773,10min09s,197.19EH/s,197190000000000000000,-416820448091,-3000000000000000000
723744,2022-02-17 11:14:51,27967152532434,4.78,0x170a1078,09min33s,200.19EH/s,200190000000000000000,1276627245029,9150000000000000000
721728,2022-02-04 02:34:17,26690525287405,0.18,0x170a8bb4,09min59s,191.04EH/s,191040000000000000000,47340030870,330000000000000000
719712,2022-01-21 03:08:10,26643185256535,9.32,0x170a9080,09min09s,190.71EH/s,190710000000000000000,2271310642190,16290000000000000000
717696,2022-01-08 07:45:37,24371874614345,0.41,0x170b8c8b,09min58s,174.42EH/s,174420000000000000000,99542617366,730000000000000000
